User,Film,rate
6.0,3114.0,4.0
6.0,4641.0,1.5
6.0,4975.0,1.5
6.0,7090.0,3.0
6.0,8368.0,3.5
6.0,8874.0,4.5
7.0,21.0,3.0
7.0,104.0,3.0
7.0,110.0,5.0
7.0,112.0,4.0
7.0,141.0,4.0
7.0,198.0,2.0
7.0,207.0,3.0
7.0,260.0,5.0
7.0,272.0,3.0
7.0,316.0,2.0
7.0,318.0,5.0
7.0,329.0,3.0
7.0,333.0,3.0
7.0,345.0,3.0
7.0,364.0,3.0
7.0,377.0,3.0
7.0,380.0,4.0
7.0,480.0,4.0
7.0,500.0,3.0
7.0,534.0,4.0
7.0,539.0,3.0
7.0,541.0,4.0
7.0,551.0,4.0
7.0,588.0,4.0
7.0,590.0,4.0
7.0,592.0,3.0
7.0,594.0,4.0
7.0,595.0,3.0
7.0,671.0,4.0
7.0,708.0,3.0
7.0,745.0,5.0
7.0,780.0,3.0
7.0,786.0,2.0
7.0,924.0,4.0
7.0,1073.0,3.0
7.0,1125.0,3.0
7.0,1278.0,3.0
7.0,1371.0,3.0
7.0,1372.0,3.0
7.0,1373.0,2.0
7.0,1374.0,4.0
7.0,1375.0,3.0
7.0,1376.0,3.0
7.0,1394.0,3.0
7.0,1405.0,5.0
7.0,1408.0,1.0
8.0,110.0,4.0
8.0,260.0,3.5
8.0,296.0,4.0
8.0,318.0,5.0
8.0,457.0,4.5
8.0,524.0,2.0
8.0,527.0,5.0
8.0,543.0,5.0
8.0,593.0,4.5
8.0,628.0,4.0
8.0,805.0,3.5
8.0,858.0,5.0
8.0,1259.0,4.0
8.0,1265.0,3.0
8.0,1358.0,0.5
8.0,1387.0,4.0
8.0,1393.0,3.0
8.0,1552.0,3.0
8.0,1777.0,5.0
8.0,1961.0,5.0
8.0,2028.0,4.0
8.0,2100.0,3.0
8.0,2139.0,3.0
8.0,2302.0,4.5
8.0,2324.0,4.0
8.0,2502.0,5.0
8.0,2762.0,4.5
8.0,2770.0,2.5
8.0,2791.0,4.5
8.0,2841.0,3.0
8.0,2959.0,4.0
8.0,3578.0,5.0
8.0,4011.0,4.5
8.0,4034.0,4.5
8.0,4226.0,5.0
8.0,4886.0,3.5
8.0,4896.0,3.5
8.0,4973.0,4.0
8.0,4993.0,3.5
8.0,4995.0,3.5
8.0,5064.0,5.0
8.0,8873.0,4.0
8.0,8874.0,3.0
8.0,33166.0,4.5
8.0,40819.0,3.5
8.0,43871.0,3.0
8.0,44004.0,3.0
9.0,17.0,4.0
9.0,26.0,3.0
9.0,318.0,4.0
9.0,497.0,4.0
9.0,527.0,5.0
9.0,534.0,5.0
9.0,593.0,4.0
9.0,608.0,5.0
9.0,1059.0,5.0
9.0,1358.0,4.0
9.0,1411.0,3.0
9.0,1541.0,2.0
9.0,1584.0,4.0
9.0,1680.0,4.0
9.0,1682.0,5.0
9.0,1721.0,3.0
9.0,2028.0,4.0
9.0,2125.0,4.0
9.0,2140.0,4.0
9.0,2268.0,3.0
9.0,2291.0,4.0
9.0,2294.0,2.0
9.0,2302.0,4.0
9.0,2501.0,4.0
9.0,2539.0,2.0
9.0,2762.0,4.0
10.0,152.0,4.0
10.0,318.0,4.0
10.0,344.0,3.0
10.0,345.0,4.0
10.0,592.0,3.0
10.0,1089.0,3.0
10.0,1127.0,4.0
10.0,1358.0,5.0
10.0,1499.0,3.0
10.0,1611.0,5.0
10.0,1690.0,3.0
10.0,1719.0,5.0
10.0,1887.0,2.0
10.0,1923.0,5.0
10.0,2108.0,3.0
10.0,2539.0,4.0
10.0,2841.0,4.0
10.0,2890.0,4.0
10.0,2907.0,2.0
10.0,2926.0,5.0
10.0,3019.0,4.0
11.0,70.0,1.0
11.0,169.0,3.0
11.0,296.0,5.0
11.0,778.0,4.5
11.0,923.0,5.0
11.0,1408.0,5.0
11.0,1918.0,3.0
11.0,2042.0,3.5
11.0,2762.0,3.0
11.0,26614.0,5.0
11.0,91548.0,4.0
11.0,97938.0,4.0
12.0,253.0,3.0
12.0,608.0,2.0
12.0,673.0,1.0
12.0,1374.0,1.0
12.0,1387.0,4.0
12.0,1639.0,2.0
12.0,1732.0,3.0
12.0,2259.0,2.0
12.0,2355.0,2.0
12.0,2460.0,4.0
12.0,2668.0,2.0
12.0,2959.0,4.0
12.0,3146.0,2.0
12.0,3176.0,3.0
12.0,3179.0,2.0
12.0,3780.0,2.0
12.0,3865.0,5.0
13.0,110.0,4.0
13.0,277.0,4.0
13.0,296.0,3.5
13.0,318.0,4.5
13.0,480.0,3.0
13.0,524.0,3.5
13.0,527.0,4.0
13.0,531.0,4.0
13.0,587.0,3.0
13.0,590.0,4.0
13.0,914.0,4.0
13.0,919.0,3.5
13.0,1259.0,4.0
13.0,1265.0,2.5
13.0,1918.0,3.0
13.0,1961.0,4.0
13.0,2355.0,4.0
13.0,2761.0,4.0
13.0,2762.0,3.0
13.0,3114.0,3.0
13.0,3396.0,3.5
13.0,4886.0,3.5
13.0,4993.0,4.5
13.0,58559.0,4.5
14.0,594.0,1.0
14.0,1721.0,3.0
14.0,2038.0,3.0
14.0,2355.0,2.0
14.0,2861.0,2.0
14.0,3114.0,4.0
14.0,3175.0,5.0
15.0,2.0,2.0
15.0,5.0,4.5
15.0,6.0,4.0
15.0,11.0,2.5
15.0,14.0,2.5
15.0,16.0,3.5
15.0,17.0,3.0
15.0,19.0,1.0
15.0,21.0,4.5
15.0,22.0,2.5
15.0,25.0,3.0
15.0,62.0,2.0
15.0,70.0,0.5
15.0,82.0,5.0
15.0,95.0,1.5
15.0,101.0,4.0
15.0,104.0,1.0
15.0,107.0,2.0
15.0,110.0,3.0
15.0,111.0,5.0
15.0,112.0,2.5
15.0,123.0,4.0
15.0,145.0,3.5
15.0,149.0,5.0
15.0,150.0,3.0
15.0,153.0,1.0
15.0,157.0,2.0
15.0,160.0,0.5
15.0,161.0,3.0
15.0,162.0,4.0
15.0,163.0,2.0
15.0,164.0,4.0
15.0,165.0,3.0
15.0,170.0,2.5
15.0,172.0,1.0
15.0,175.0,4.0
15.0,176.0,4.0
15.0,180.0,3.0
15.0,185.0,2.0
15.0,193.0,1.0
15.0,196.0,2.0
15.0,198.0,1.5
15.0,214.0,2.0
15.0,215.0,4.5
15.0,216.0,1.0
15.0,223.0,4.0
15.0,225.0,1.0
15.0,231.0,3.5
15.0,232.0,4.0
15.0,233.0,4.0
15.0,235.0,4.0
15.0,237.0,3.5
15.0,246.0,5.0
15.0,247.0,2.0
15.0,252.0,2.0
15.0,253.0,2.0
15.0,260.0,5.0
15.0,265.0,1.0
15.0,288.0,2.0
15.0,292.0,1.0
15.0,293.0,5.0
15.0,296.0,5.0
15.0,300.0,4.0
15.0,306.0,5.0
15.0,307.0,4.0
15.0,308.0,4.0
15.0,316.0,3.0
15.0,317.0,1.0
15.0,318.0,2.0
15.0,322.0,2.5
15.0,329.0,1.5
15.0,335.0,2.0
15.0,339.0,2.5
15.0,342.0,3.0
15.0,344.0,2.0
15.0,349.0,3.0
15.0,364.0,4.0
15.0,377.0,4.0
15.0,380.0,4.0
15.0,429.0,1.0
15.0,431.0,4.0
15.0,434.0,3.0
15.0,435.0,1.0
15.0,440.0,2.5
15.0,441.0,4.0
15.0,442.0,1.0
15.0,454.0,3.0
15.0,457.0,5.0
15.0,466.0,2.5
15.0,471.0,3.0
15.0,480.0,3.0
15.0,481.0,3.0
15.0,483.0,1.0
15.0,494.0,4.0
15.0,500.0,3.0
15.0,508.0,1.5
15.0,509.0,2.0
15.0,524.0,2.5
15.0,527.0,4.0
15.0,535.0,3.0
15.0,539.0,2.0
15.0,540.0,1.5
15.0,541.0,5.0
15.0,543.0,3.0
15.0,549.0,5.0
15.0,551.0,2.0
15.0,562.0,3.0
15.0,574.0,3.0
15.0,586.0,2.0
15.0,587.0,1.0
15.0,588.0,0.5
15.0,590.0,3.0
15.0,592.0,4.0
15.0,593.0,5.0
15.0,594.0,2.5
15.0,597.0,2.5
15.0,608.0,5.0
15.0,628.0,2.5
15.0,647.0,1.5
15.0,648.0,4.0
15.0,663.0,2.0
15.0,665.0,3.0
15.0,674.0,3.0
15.0,680.0,2.0
15.0,708.0,3.0
15.0,745.0,3.0
15.0,750.0,4.0
15.0,762.0,2.0
15.0,778.0,4.0
15.0,780.0,2.5
15.0,784.0,2.5
15.0,786.0,0.5
15.0,788.0,1.5
15.0,799.0,3.0
15.0,800.0,5.0
15.0,802.0,1.0
15.0,803.0,4.5
15.0,804.0,3.5
15.0,832.0,1.0
15.0,836.0,2.0
15.0,851.0,4.0
15.0,858.0,5.0
15.0,866.0,4.0
15.0,899.0,5.0
15.0,903.0,5.0
15.0,909.0,4.0
15.0,910.0,2.5
15.0,911.0,4.0
15.0,912.0,5.0
15.0,913.0,4.0
15.0,914.0,1.5
15.0,916.0,1.0
15.0,919.0,3.0
15.0,920.0,3.5
15.0,922.0,1.0
15.0,923.0,5.0
15.0,924.0,5.0
15.0,926.0,3.0
15.0,931.0,1.0
15.0,953.0,3.0
15.0,994.0,4.0
15.0,1059.0,1.5
15.0,1073.0,3.0
15.0,1088.0,2.0
15.0,1089.0,4.0
15.0,1092.0,2.5
15.0,1093.0,2.0
15.0,1127.0,4.0
15.0,1213.0,3.0
15.0,1244.0,5.0
15.0,1246.0,1.0
15.0,1247.0,5.0
15.0,1248.0,3.0
15.0,1249.0,3.0
15.0,1250.0,4.0
15.0,1251.0,3.0
15.0,1252.0,5.0
15.0,1254.0,3.5
15.0,1259.0,3.0
15.0,1260.0,3.0
15.0,1262.0,1.5
15.0,1265.0,4.0
15.0,1266.0,4.0
15.0,1267.0,5.0
15.0,1272.0,3.5
15.0,1280.0,3.0
15.0,1281.0,1.0
15.0,1283.0,3.0
15.0,1284.0,3.0
15.0,1358.0,1.0
15.0,1361.0,3.5
15.0,1370.0,3.0
15.0,1377.0,3.0
15.0,1380.0,2.5
15.0,1387.0,4.0
15.0,1391.0,0.5
15.0,1393.0,3.5
15.0,1394.0,4.0
15.0,1396.0,4.0
15.0,1405.0,3.0
15.0,1407.0,5.0
15.0,1479.0,1.5
15.0,1483.0,3.0
15.0,1484.0,3.0
15.0,1485.0,3.0
15.0,1544.0,1.0
15.0,1546.0,4.0
15.0,1552.0,1.5
15.0,1556.0,2.5
15.0,1562.0,1.5
15.0,1573.0,4.0
15.0,1580.0,4.0
15.0,1584.0,4.0
15.0,1589.0,2.0
15.0,1597.0,2.0
15.0,1608.0,1.0
15.0,1610.0,3.0
15.0,1615.0,3.0
15.0,1616.0,3.0
15.0,1635.0,4.0
15.0,1639.0,4.0
15.0,1644.0,1.5
15.0,1645.0,3.0
15.0,1649.0,2.0
15.0,1653.0,3.0
15.0,1673.0,3.0
15.0,1676.0,4.0
15.0,1680.0,3.0
15.0,1682.0,2.0
15.0,1689.0,4.5
15.0,1690.0,1.0
15.0,1694.0,3.0
15.0,1717.0,4.0
15.0,1719.0,4.0
15.0,1721.0,1.5
15.0,1722.0,3.5
15.0,1729.0,1.0
15.0,1732.0,3.5
15.0,1735.0,0.5
15.0,1777.0,2.0
15.0,1779.0,1.0
15.0,1792.0,3.0
15.0,1807.0,1.5
15.0,1810.0,2.5
15.0,1816.0,2.5
15.0,1831.0,2.0
15.0,1834.0,3.5
15.0,1836.0,2.0
15.0,1845.0,4.0
15.0,1859.0,5.0
15.0,1882.0,1.5
15.0,1883.0,4.0
15.0,1895.0,2.5
15.0,1904.0,3.5
15.0,1909.0,2.0
15.0,1912.0,5.0
15.0,1914.0,3.5
15.0,1917.0,2.0
15.0,1921.0,4.0
15.0,1923.0,4.5
15.0,1945.0,4.0
15.0,1950.0,3.0
15.0,1954.0,3.0
15.0,1955.0,4.5
15.0,1956.0,4.0
15.0,1961.0,3.5
15.0,1964.0,3.0
15.0,1968.0,4.0
15.0,1994.0,2.5
15.0,1997.0,5.0
15.0,2000.0,3.0
15.0,2003.0,3.0
15.0,2005.0,4.0
15.0,2006.0,4.0
15.0,2010.0,3.0
15.0,2011.0,3.0
15.0,2012.0,1.0
15.0,2018.0,2.0
15.0,2019.0,4.5
15.0,2020.0,2.5
15.0,2028.0,3.0
15.0,2054.0,2.0
15.0,2058.0,2.5
15.0,2064.0,4.5
15.0,2100.0,2.0
15.0,2105.0,4.0
15.0,2108.0,4.5
15.0,2115.0,4.0
15.0,2124.0,2.0
15.0,2133.0,3.5
15.0,2134.0,3.5
15.0,2140.0,3.0
15.0,2160.0,3.0
15.0,2161.0,3.0
15.0,2186.0,3.0
15.0,2232.0,4.0
15.0,2268.0,1.0
15.0,2269.0,2.5
15.0,2282.0,0.5
15.0,2288.0,3.0
15.0,2289.0,4.0
15.0,2291.0,3.0
15.0,2294.0,2.0
15.0,2302.0,3.5
15.0,2313.0,3.5
15.0,2321.0,3.5
15.0,2324.0,2.0
15.0,2333.0,3.0
15.0,2334.0,3.0
15.0,2355.0,2.0
15.0,2357.0,3.0
15.0,2360.0,2.0
15.0,2371.0,3.5
15.0,2395.0,5.0
15.0,2428.0,1.0
15.0,2447.0,2.5
15.0,2455.0,3.5
15.0,2501.0,3.0
15.0,2502.0,5.0
15.0,2528.0,2.0
15.0,2539.0,2.5
15.0,2574.0,1.0
15.0,2575.0,3.0
15.0,2594.0,4.0
15.0,2605.0,1.0
15.0,2617.0,1.0
15.0,2640.0,4.0
15.0,2648.0,3.0
15.0,2657.0,2.0
15.0,2671.0,4.0
15.0,2692.0,3.0
15.0,2699.0,3.0
15.0,2701.0,1.0
15.0,2722.0,2.0
15.0,2759.0,1.0
15.0,2761.0,2.0
15.0,2762.0,1.0
15.0,2769.0,2.0
15.0,2770.0,4.0
15.0,2791.0,4.0
15.0,2841.0,2.0
15.0,2890.0,4.0
15.0,2912.0,4.0
15.0,2925.0,4.0
15.0,2959.0,5.0
15.0,2973.0,4.0
15.0,2976.0,2.0
15.0,2990.0,3.5
15.0,2993.0,4.0
15.0,3004.0,1.0
15.0,3007.0,2.5
15.0,3010.0,4.0
15.0,3019.0,3.0
15.0,3030.0,4.0
15.0,3033.0,4.0
15.0,3052.0,3.0
15.0,3060.0,4.0
15.0,3077.0,3.0
15.0,3081.0,1.0
15.0,3082.0,3.0
15.0,3083.0,5.0
15.0,3089.0,3.0
15.0,3101.0,4.0
15.0,3104.0,4.0
15.0,3107.0,3.0
15.0,3114.0,1.0
15.0,3134.0,1.0
15.0,3146.0,1.5
15.0,3160.0,3.0
15.0,3168.0,2.5
15.0,3173.0,2.5
15.0,3175.0,4.0
15.0,3176.0,2.0
15.0,3210.0,5.0
15.0,3418.0,1.0
15.0,3476.0,4.5
15.0,3484.0,0.5
15.0,3489.0,2.0
15.0,3512.0,3.0
15.0,3527.0,3.0
15.0,3536.0,4.0
15.0,3543.0,2.0
15.0,3556.0,3.0
15.0,3577.0,3.5
15.0,3578.0,2.0
15.0,3598.0,3.0
15.0,3635.0,3.5
15.0,3638.0,3.5
15.0,3683.0,4.0
15.0,3763.0,2.0
15.0,3786.0,2.0
15.0,3981.0,1.0
15.0,3989.0,3.0
15.0,4011.0,1.0
15.0,4025.0,1.0
15.0,4034.0,4.0
15.0,4148.0,1.0
15.0,4226.0,5.0
15.0,4232.0,3.0
15.0,4235.0,4.0
15.0,4247.0,1.0
15.0,4271.0,4.0
15.0,4344.0,2.0
15.0,4351.0,3.0
15.0,4369.0,3.0
15.0,4380.0,2.0
15.0,4546.0,3.0
15.0,4638.0,1.0
15.0,4639.0,1.0
15.0,4641.0,3.0
15.0,4643.0,3.0
15.0,4658.0,2.0
15.0,4701.0,3.0
15.0,4723.0,3.5
15.0,4727.0,3.0
15.0,4728.0,4.0
15.0,4734.0,1.0
15.0,4816.0,3.0
15.0,4823.0,2.5
15.0,4886.0,5.0
15.0,4896.0,1.0
15.0,4958.0,1.0
15.0,4973.0,2.0
15.0,4974.0,2.0
15.0,4975.0,1.0
15.0,4979.0,5.0
15.0,4992.0,1.5
15.0,4993.0,5.0
15.0,4995.0,1.0
15.0,5000.0,3.5
15.0,5060.0,1.5
15.0,5066.0,3.0
15.0,5071.0,5.0
15.0,5279.0,0.5
15.0,5319.0,3.5
15.0,5458.0,1.0
15.0,5481.0,2.0
15.0,5528.0,1.0
15.0,5618.0,1.5
15.0,5620.0,0.5
15.0,5816.0,1.0
15.0,5902.0,4.0
15.0,5956.0,2.5
15.0,5968.0,3.0
15.0,5991.0,1.0
15.0,5995.0,4.0
15.0,6003.0,1.5
15.0,6016.0,2.0
15.0,6037.0,3.0
15.0,6283.0,1.0
15.0,6373.0,2.0
15.0,6440.0,3.5
15.0,6537.0,2.5
15.0,6547.0,1.0
15.0,6552.0,1.5
15.0,6593.0,1.0
15.0,6620.0,1.5
15.0,6641.0,4.0
15.0,6934.0,1.5
15.0,6936.0,1.0
15.0,6947.0,1.0
15.0,6957.0,4.0
15.0,6961.0,2.5
15.0,6978.0,2.5
15.0,7008.0,3.5
15.0,7010.0,3.5
15.0,7090.0,3.0
15.0,7346.0,3.0
15.0,7348.0,2.0
15.0,7445.0,1.5
15.0,7451.0,3.5
15.0,7484.0,4.0
15.0,8011.0,2.0
15.0,8366.0,2.5
15.0,8368.0,1.5
15.0,8464.0,3.0
15.0,8645.0,2.0
15.0,8665.0,3.5
15.0,8874.0,2.5
15.0,8914.0,4.5
15.0,8930.0,2.5
15.0,8948.0,1.0
15.0,8961.0,2.0
15.0,8970.0,2.0
15.0,8974.0,2.5
15.0,8984.0,2.0
15.0,26131.0,5.0
15.0,26152.0,4.0
15.0,26587.0,5.0
15.0,26810.0,2.0
15.0,27904.0,2.5
15.0,30707.0,1.5
15.0,30810.0,1.5
15.0,31685.0,0.5
15.0,31696.0,3.5
15.0,33166.0,3.5
15.0,34334.0,1.5
15.0,35957.0,2.5
15.0,36529.0,1.0
15.0,38061.0,4.5
15.0,40815.0,1.5
15.0,42718.0,4.5
15.0,44004.0,1.0
15.0,44191.0,2.5
15.0,44555.0,1.0
15.0,45186.0,2.5
15.0,45722.0,2.0
15.0,46578.0,1.0
15.0,46972.0,3.5
15.0,46976.0,3.5
15.0,47610.0,1.5
15.0,48385.0,4.0
15.0,48780.0,4.0
15.0,51540.0,5.0
15.0,54001.0,2.0
15.0,54272.0,1.0
15.0,54503.0,3.5
15.0,55765.0,2.0
15.0,58559.0,4.5
15.0,59126.0,4.0
15.0,63859.0,3.0
15.0,65642.0,4.5
15.0,67087.0,1.5
15.0,68954.0,2.0
15.0,69406.0,1.0
15.0,69526.0,3.0
15.0,70862.0,2.5
15.0,71282.0,2.5
15.0,74458.0,0.5
15.0,77561.0,1.0
15.0,81229.0,3.5
15.0,81782.0,3.0
15.0,81847.0,1.0
15.0,83613.0,0.5
15.0,83827.0,4.0
15.0,84152.0,3.0
15.0,84954.0,1.0
15.0,85414.0,4.0
15.0,86190.0,1.5
15.0,86332.0,1.0
15.0,88744.0,4.5
15.0,88950.0,0.5
15.0,89337.0,3.0
15.0,89492.0,5.0
15.0,90603.0,2.5
15.0,93840.0,3.5
15.0,94478.0,1.0
15.0,94959.0,1.0
15.0,97938.0,2.5
15.0,98122.0,0.5
15.0,100032.0,2.0
15.0,101362.0,3.0
15.0,104211.0,3.5
15.0,104241.0,1.0
15.0,107406.0,4.0
15.0,110553.0,0.5
15.0,111443.0,4.0
15.0,111759.0,4.5
15.0,122924.0,2.5
15.0,130452.0,2.0
15.0,132961.0,3.0
15.0,134368.0,4.5
15.0,140174.0,4.0
15.0,142507.0,3.0
15.0,158238.0,3.5
16.0,318.0,4.0
16.0,337.0,4.0
16.0,527.0,4.0
16.0,750.0,4.0
16.0,1653.0,5.0
16.0,1961.0,3.5
16.0,2012.0,4.0
16.0,2539.0,4.0
16.0,4772.0,5.0
16.0,4823.0,4.0
16.0,4995.0,4.5
16.0,6016.0,4.0
16.0,7346.0,4.0
17.0,6.0,4.5
17.0,25.0,4.5
17.0,111.0,5.0
17.0,170.0,4.0
17.0,172.0,3.5
17.0,185.0,3.0
17.0,194.0,4.0
17.0,198.0,5.0
17.0,223.0,2.5
17.0,235.0,5.0
17.0,247.0,2.0
17.0,260.0,3.5
17.0,288.0,2.0
17.0,293.0,4.0
17.0,296.0,5.0
17.0,307.0,3.5
17.0,318.0,5.0
17.0,348.0,3.5
17.0,377.0,0.5
17.0,431.0,4.5
17.0,480.0,0.5
17.0,482.0,0.5
17.0,492.0,5.0
17.0,527.0,4.0
17.0,541.0,5.0
17.0,590.0,3.0
17.0,593.0,4.5
17.0,608.0,3.5
17.0,680.0,4.5
17.0,714.0,4.5
17.0,778.0,4.5
17.0,858.0,5.0
17.0,866.0,4.5
17.0,903.0,5.0
17.0,910.0,3.5
17.0,912.0,4.5
17.0,913.0,5.0
17.0,922.0,5.0
17.0,923.0,4.5
17.0,924.0,4.5
17.0,928.0,4.5
17.0,931.0,4.5
17.0,942.0,3.5
17.0,965.0,3.5
